stop_point_id,lat,lon,name,stop_point_type
StopPoint:node:5757830271,9.984468,76.412076,Rajashree Kavala Bus Station,Unknown
StopPoint:node:5757830272,9.990449,76.420788,Kollappady Bus Stop,Unknown
StopPoint:node:5757830273,9.991907,76.40554399999999,Colony Bus Stop,Unknown
StopPoint:node:5757830274,9.96585,76.412663,Bible College Jn Bus Stop,Unknown
StopPoint:node:5757830275,9.973352,76.417762,Pannikuzhy Bus Stop,Unknown
StopPoint:node:5757830276,9.963609,76.407106,Varikoli Bus Stop,Platform
StopPoint:node:5757830277,10.059535799999999,76.3953878,Pukkattupady Bus Stop,Unknown
StopPoint:node:5757830278,10.028338999999999,76.393309,Wonderla,Unknown
StopPoint:node:5757830279,10.029427,76.385605,Manakkakadavu Bus Stop,Unknown
StopPoint:node:5757830280,10.029641,76.389682,Pallithazham Bus Stop,Unknown
StopPoint:node:5757830281,10.000349,76.393602,Padathikara Bus Stop,Unknown
StopPoint:node:5757830282,10.007602,76.378181,Padathikkara Thuruth Bus Stop,Unknown
StopPoint:node:5757830283,9.984426,76.395596,FACT Club Bus Stop,Unknown
StopPoint:node:5757830284,9.985926,76.39197,Harimattam Bus Stop,Unknown
StopPoint:node:5757830285,9.983602,76.389309,Ambalamedu Post Office Bus Stop,Unknown
StopPoint:node:5757830286,9.977938,76.38469599999999,Kuzhikkad Bus Stop,Unknown
StopPoint:node:5757830287,9.994612,76.396456,Chakku Company Bus Stop,Unknown
StopPoint:node:5757830288,9.955282,76.39600399999999,Panikkarupady Bus Stop,Unknown
StopPoint:node:5757830289,9.970837,76.381241,HOC Bus Stop,Unknown
StopPoint:node:5757830290,9.968428,76.377659,Refinery Bus Stop,Unknown
StopPoint:node:5757830291,9.975317,76.381134,Jwalagiri,Unknown
StopPoint:node:5757830292,10.0492197,76.37189289999999,Kuzhivelippady Bus Stop,Unknown
StopPoint:node:5757830293,10.015341,76.36366699999999,Infopark Bus Stop,Unknown
StopPoint:node:5757830294,9.9565969,76.3655603,Kollanpady Bus Stop,Unknown
StopPoint:node:5757830295,9.962722,76.357874,Makaliyam Bus Stop,Unknown
StopPoint:node:5757830296,9.963528,76.37422,Indian Oil Corporation Bus Stop,Unknown
StopPoint:node:5757830297,9.957388,76.358314,Navainfotech Services Pvt Ltd Bus Stop,Unknown
StopPoint:node:5757830298,9.959192,76.367122,Chitrapuzha Bus Stop,Unknown
StopPoint:node:5757830299,10.0490743,76.33894529999999,HMT Bus Stop,Unknown
StopPoint:node:5757830300,10.053977,76.35478599999999,Co Operative Medical College Bus Stop,Unknown
StopPoint:node:5757830301,10.046687,76.33729799999999,Median Bus Stop,Unknown
StopPoint:node:5757830303,10.0353266,76.3340372,Judgemukku Bus Stop,Unknown
StopPoint:node:5757830304,10.036249999999999,76.337898,Vallathol Padi Bus Stop,Unknown
StopPoint:node:5757830305,10.041267999999999,76.33837,Kaipadamugal Bus Stop,Unknown
StopPoint:node:5757830306,10.021818,76.33800699999999,Ambadimoola Bus Stop,Unknown
StopPoint:node:5757830308,10.012914,76.341698,Kakkanad Bus Stop,Unknown
StopPoint:node:5757830309,10.017111,76.34480099999999,Kakkanad,Unknown
StopPoint:node:5757830310,10.00635,76.34499,CSEZ Bus Stop,Unknown
StopPoint:node:5757830311,10.015479,76.35446999999999,Kuzhikattumoola Bus Stop,Unknown
StopPoint:node:5757830312,10.0009641,76.3499252,Chittethukara Bus Stop,Unknown
StopPoint:node:5757830313,10.003941,76.34678199999999,Adarsha Junction Bus Stop,Unknown
StopPoint:node:5757830314,10.000212,76.33416,Palachuvadu Junction Bus Stop,Unknown
StopPoint:node:5757830315,9.998531999999999,76.350794,Chittethukara Bus Stand,Unknown
StopPoint:node:5757830316,9.995506899999999,76.3515159,Rajagiri Bus Stop,Unknown
StopPoint:node:5757830317,9.982693,76.352437,Indian Oil Bus Stop- Irumpanam,Unknown
StopPoint:node:5757830318,9.977198,76.354204,Vettikkavu Bus Stop,Unknown
StopPoint:node:5757830319,9.979602,76.353172,BPCL Bus Stop,Unknown
StopPoint:node:5757830521,9.973035999999999,76.3364835,Mathoor Junction Bus Stop,Platform
StopPoint:node:5757830523,9.9576037,76.34354669999999,Azad Maidan,Platform
StopPoint:node:5757830524,9.974985,76.354534,Kadathu Kadavu Bus Stop,Unknown
StopPoint:node:5757830525,9.965567199999999,76.3402366,Puthiya Road Bus Stop,Platform
StopPoint:node:5757830529,10.053882,76.328147,Govt ITI Bus Stop,Unknown
StopPoint:node:5757830531,10.044267999999999,76.324638,CUSAT Main Office Bus Stop,Unknown
StopPoint:node:5757830533,10.05212,76.319462,South Kalamassery Junction Bus Stop,Unknown
StopPoint:node:5757830534,10.048895,76.318985,CUSAT Bus Stop,Unknown
StopPoint:node:5757830535,10.038159,76.31537999999999,Pathadipalam Bus Stop,Platform
StopPoint:node:5757830536,10.033496999999999,76.31302199999999,Koonamthai Bus Stop?,Unknown
StopPoint:node:5757830537,10.027592,76.31559399999999,Club Junction Bus Stop,Unknown
StopPoint:node:5757830538,10.030021999999999,76.319097,Unnichira Bus Stop,Unknown
StopPoint:node:5757830539,10.031875999999999,76.321822,Thykkavu Bus Stop,Unknown
StopPoint:node:5757830540,10.039102,76.327803,University Ground Bus Stop,Unknown
StopPoint:node:5757830541,10.010064,76.31115199999999,Aarow Global Business Solutions,Unknown
StopPoint:node:5757830542,10.006416999999999,76.31556499999999,Alinchuvadu Bus Stop,Unknown
